,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.25293698310852053,0.030812529548631087,0.0031583309173583984,0.0001996303122766022,2.17722239137726,,"{'C': np.float64(2.17722239137726), 'class_weight': None}",0.9346178668401754,0.9223048403167041,0.9413852747566026,0.9294256941658059,0.9234975808681319,0.930246251389484,0.007105951604280823,20,0.9390187683159891,0.9443766065905228,0.9352774650758259,0.9375610118844898,0.9415722391378427,0.9395612182009341,0.0031584106311296975
1,0.34099884033203126,0.10304457251998325,0.0037503719329833986,0.001403153813597505,149.68799396483814,balanced,"{'C': np.float64(149.68799396483814), 'class_weight': 'balanced'}",0.9489663086745582,0.9711400512533092,0.9765912544839184,0.9655042056476534,0.9454508315706524,0.9615305303260182,0.012258668589569609,3,0.9762698546059312,0.971919423941932,0.9841678321828908,0.9829102094253233,0.9767163233524435,0.9783967287017041,0.004538281087396578
2,0.32897305488586426,0.0636975233689736,0.0031386375427246093,0.0001569271449874609,27.784806456372557,,"{'C': np.float64(27.784806456372557), 'class_weight': None}",0.9519485302870523,0.960062465979143,0.9711861770725377,0.9667737518204248,0.9485007167965301,0.9596943283911376,0.008574504957036566,5,0.9735714089644715,0.9715176610754042,0.9726308856662457,0.9732174548807118,0.9793566587395937,0.9740588138652854,0.0027389430528446013
3,0.472736120223999,0.08453529739443975,0.0034552097320556642,0.0007402402197853914,140.9776725414727,balanced,"{'C': np.float64(140.9776725414727), 'class_weight': 'balanced'}",0.9454316990003017,0.9636256604944147,0.9693471790101499,0.9551364398630556,0.9414908317446019,0.9550063620225048,0.01052912141583764,8,0.9842451502497164,0.9818193961031739,0.9779416236444947,0.9773431015085503,0.9845815449018724,0.9811861632815615,0.0030523159296813192
4,0.14189157485961915,0.025363205304934074,0.0031653881072998048,0.00019218079147782153,0.49643832194456283,,"{'C': np.float64(0.49643832194456283), 'class_weight': None}",0.8783196083436681,0.8855979712804328,0.9004011717265302,0.8707624467612923,0.8551797960093138,0.8780521988242475,0.015051737941291131,22,0.8837587888675168,0.8787767642227969,0.8790250625481075,0.8815716706322999,0.8826812104738638,0.881162699348917,0.001973575022847189
5,0.11650900840759278,0.021650840721939017,0.003009796142578125,0.00044027790122026285,0.3003040848357704,balanced,"{'C': np.float64(0.3003040848357704), 'class_weight': 'balanced'}",0.8416442713832725,0.8651726476130536,0.8798895572155975,0.8448240720837297,0.8391184427485611,0.8541297982088428,0.015832469287086814,24,0.856496413341372,0.8583021660734221,0.8504131498670938,0.8542195239597282,0.8641954925857194,0.8567253491654672,0.004570882318240225
6,0.15162014961242676,0.05813855042487429,0.005043172836303711,0.0016954807689518428,0.1817266262437988,,"{'C': np.float64(0.1817266262437988), 'class_weight': None}",0.7005416488764881,0.7269066555641702,0.7363533596270169,0.7173815577092961,0.705553541481732,0.7173473526517407,0.01322221921310606,30,0.7440293475386276,0.7257240297056051,0.7200083701495199,0.7281815505098322,0.7305429278480317,0.7296972451503232,0.007975994083355307
7,0.3034216403961182,0.06749353027365165,0.003561878204345703,0.001158801834896887,63.982305039359936,,"{'C': np.float64(63.982305039359936), 'class_weight': None}",0.9581506727971645,0.9619292635965419,0.9780562323994774,0.9756461045315142,0.95403223964528,0.9655629025939957,0.009579717343461136,1,0.982923420542171,0.9791655824931423,0.9782223387234602,0.9785901443615087,0.9792036672678459,0.9796210306776256,0.001691535980192444
8,0.27788825035095216,0.08750402906166531,0.0034447669982910155,0.0006685122034177902,4.789779498746521,,"{'C': np.float64(4.789779498746521), 'class_weight': None}",0.9485142401383483,0.9293617297218644,0.956522346368715,0.9457303218130725,0.9467211487283151,0.945369957354063,0.00885981069277603,16,0.9541462106891673,0.9548340400869259,0.9530892538041655,0.9535300590276305,0.9557945392700667,0.9542788205755912,0.0009590589354060792
9,0.370737886428833,0.08923512453108412,0.003803920745849609,0.0015321117700702047,16.988714420803824,,"{'C': np.float64(16.988714420803824), 'class_weight': None}",0.9607029164967728,0.9467313789002775,0.9682886393175288,0.9682151049824405,0.9441448426282842,0.9576165764650607,0.010351061449391566,6,0.9717626391546764,0.9689809582006284,0.9677457847585721,0.9660318987845348,0.9757535904894459,0.9700549742775715,0.003407678073222206
10,0.3254004955291748,0.052533338984468526,0.004669666290283203,0.0018472429949924457,9.016897431977403,,"{'C': np.float64(9.016897431977403), 'class_weight': None}",0.9532201376120529,0.9424003446797875,0.9578022374625546,0.9628100955697553,0.9505710634671095,0.953360775758252,0.006884032977145629,10,0.9620383117513773,0.9639518854384818,0.9602073394241826,0.9600871900362978,0.9644052030383744,0.9621379859377429,0.0018096187174822646
11,0.12485899925231933,0.060037569707687144,0.006157588958740234,0.004491744312846424,0.13054602097986934,balanced,"{'C': np.float64(0.13054602097986934), 'class_weight': 'balanced'}",0.7981351470832775,0.8361496714644363,0.8410461646584076,0.8062149124511239,0.811972146769499,0.8187036084853488,0.016899092518430046,26,0.8233616097563125,0.8209454984338221,0.8174205132514638,0.8211192019981043,0.824202269830227,0.8214098186539859,0.0023588930022759532
12,0.26619758605957033,0.10434382603783952,0.0047585487365722655,0.0013277754051383007,5.693119157698561,,"{'C': np.float64(5.693119157698561), 'class_weight': None}",0.9472424999689099,0.9321410084221718,0.9578022374625546,0.9536242931148681,0.9492850565885039,0.9480190191114017,0.00873438623235372,15,0.9548023583089539,0.9572393058226035,0.953641639588238,0.9503827121772329,0.9586622879603283,0.9549456607714714,0.0028849829114669283
13,0.2784106254577637,0.11901276891412511,0.0037247180938720704,0.0012803760222671312,8.130527814074464,,"{'C': np.float64(8.130527814074464), 'class_weight': None}",0.9519425049201505,0.9366534190054333,0.9578022374625546,0.9655872109875686,0.9505710634671095,0.9525112871685633,0.0095345047346039,12,0.9609801249767119,0.9578649918098113,0.9592395909509196,0.9600345465028807,0.9633774247612777,0.9602993358003202,0.0018470142791141117
14,0.44107980728149415,0.11753114246259071,0.0030904769897460937,0.0001298574407109288,96.35440458293618,,"{'C': np.float64(96.35440458293618), 'class_weight': None}",0.9582161988089245,0.9658152703426297,0.9726770569709541,0.9756461045315142,0.9497840902953731,0.9644277441898792,0.009474680937541738,2,0.9825201402782886,0.9842858265894915,0.9840839901525825,0.980780969513685,0.9875612818988717,0.983846441686584,0.002245249261792358
15,0.20092387199401857,0.0661105221220952,0.002973031997680664,0.00017345395852656648,0.6864081817361912,balanced,"{'C': np.float64(0.6864081817361912), 'class_weight': 'balanced'}",0.8708032341881052,0.9061111899244967,0.9008937840001705,0.8813772006757293,0.8739751979021152,0.8866321213381234,0.014291219019521764,21,0.8941733146455219,0.8929156470551894,0.8888533199691636,0.8922819187418319,0.8962655532837118,0.8928979507390838,0.0024374637079824213
